Word,Frequency,Probability
Neglecting,1,0.00008
Newton,1,0.00008
North,1,0.00008
OPINION,1,0.00008
OWNER,1,0.00008
Opposition,1,0.00008
Othello,17,0.00136
PARAGRAPH,1,0.00008
PGLAF,1,0.00008
PHILOSOPHICAL,1,0.00008
PHILOSOPHY,4,0.00032
POSSIBILITY,1,0.00008
PREFACE,1,0.00008
PRINCIPLES,1,0.00008
PROBABLE,1,0.00008
PROJECT,4,0.00032
PUNITIVE,1,0.00008
PURPOSE,1,0.00008
Philonous,2,0.00016
Philosophic,2,0.00016
Philosophical,1,0.00008
Philosophy,9,0.00072
Physical,2,0.00016
Plain,2,0.00016
Plato,11,0.00088
Prime,6,0.00048
Principles,1,0.00008
Produced,1,0.00008
Professor,2,0.00016
Project,85,0.00679
Pronouns,1,0.00008
Prussia,1,0.00008
READ,1,0.00008
REALITY,1,0.00008
REFUND,1,0.00008
REMEDIES,1,0.00008
REPLACEMENT,1,0.00008
Rationalists,1,0.00008
Reality,2,0.00016
Redistributing,1,0.00008
Redistribution,1,0.00008
Reflection,1,0.00008
Refund,1,0.00008
Release,1,0.00008
Replacement,1,0.00008
Returning,1,0.00008
Revenue,1,0.00008
Revolution,1,0.00008
Robinson,6,0.00048
Roman,1,0.00008
Royalty,2,0.00016
Russell,3,0.00024
SEND,1,0.00008
START,2,0.00016
STRICT,1,0.00008
Salt,1,0.00008
Sceptics,1,0.00008
Science,2,0.00016
Sections,1,0.00008
Service,1,0.00008
Sir,1,0.00008
Smith,6,0.00048
Socrates,14,0.00112
Solar,2,0.00016
Space,1,0.00008
Speaking,1,0.00008
Special,1,0.00008
Spinoza,3,0.00024
Starting,1,0.00008
Struldbugs,1,0.00008
Suppose,8,0.00064
Swift,1,0.00008
TRADEMARK,1,0.00008
TRUTH,1,0.00008
Terms,2,0.00016
Times,1,0.00008
Title,1,0.00008
Truth,1,0.00008
Truths,1,0.00008
UNIVERSALS,2,0.00016
UT,1,0.00008
Uneducated,1,0.00008
Unionist,4,0.00032
United,15,0.00120
Universals,1,0.00008
Universe,1,0.00008
University,1,0.00008
Updated,1,0.00008
VII,2,0.00016
VIII,1,0.00008
Vanilla,2,0.00016
Volunteers,1,0.00008
WARRANTIES,2,0.00016
WARRANTY,2,0.00016
War,1,0.00008
Waterloo,1,0.00008
West,1,0.00008
Whitehead,1,0.00008
XI,2,0.00016
XII,1,0.00008
XIII,1,0.00008
XIV,1,0.00008
XV,1,0.00008
York,1,0.00008
abandon,2,0.00016
abide,1,0.00008
absence,2,0.00016
absent,3,0.00024
absolute,11,0.00088
absolutely,3,0.00024
abstain,1,0.00008
abstract,7,0.00056
abstracted,1,0.00008
abstraction,4,0.00032
abstractions,1,0.00008
abstractly,1,0.00008
absurd,5,0.00040
absurdities,1,0.00008
absurdity,3,0.00024
accept,3,0.00024
acceptance,1,0.00008
accepted,4,0.00032
accepting,4,0.00032
accepts,1,0.00008
access,10,0.00080
accessed,1,0.00008
accessible,1,0.00008
accident,1,0.00008
accidental,1,0.00008
accidents,1,0.00008
accompanied,1,0.00008
accord,1,0.00008
account,18,0.00144
accounted,4,0.00032
accounting,1,0.00008
accurate,1,0.00008
accusative,1,0.00008
accustomed,2,0.00016
achieve,1,0.00008
achieved,4,0.00032
achieves,1,0.00008
acquaintance,75,0.00599
acquainted,70,0.00559
acquiesce,1,0.00008
acquiescence,1,0.00008
acquire,5,0.00040
acquired,2,0.00016
acquiring,2,0.00016
acquisition,1,0.00008
action,4,0.00032
actions,2,0.00016
active,2,0.00016
activity,1,0.00008
acts,4,0.00032
actual,27,0.00216
acute,1,0.00008
adapts,1,0.00008
adding,1,0.00008
addition,8,0.00064
additional,2,0.00016
additions,2,0.00016
address,1,0.00008
addresses,1,0.00008
adduced,1,0.00008
adequacy,1,0.00008
adequate,2,0.00016
adequately,1,0.00008
adjectives,5,0.00040
admirable,1,0.00008
admission,2,0.00016
admit,14,0.00112
admits,2,0.00016
admitted,6,0.00048
admitting,1,0.00008
admixture,1,0.00008
adopt,6,0.00048
advance,4,0.00032
advanced,3,0.00024
advances,1,0.00008
adversaries,1,0.00008
advocate,1,0.00008
advocated,6,0.00048
advocates,1,0.00008
advocating,1,0.00008
aeroplanes,2,0.00016
aesthetic,1,0.00008
aether,1,0.00008
affairs,1,0.00008
affections,1,0.00008
affirm,2,0.00016
affirmative,1,0.00008
affirmed,2,0.00016
afford,3,0.00024
afforded,1,0.00008
affords,2,0.00016
age,4,0.00032
agent,1,0.00008
agree,10,0.00080
agreeably,1,0.00008
agreed,5,0.00040
agreement,18,0.00144
aim,1,0.00008
aimed,1,0.00008
aims,3,0.00024
air,5,0.00040
akin,1,0.00008
alien,1,0.00008
alive,2,0.00016
allowed,1,0.00008
allowing,1,0.00008
alter,2,0.00016
alteration,1,0.00008
altered,1,0.00008
alternate,1,0.00008
alternatives,1,0.00008
alters,1,0.00008
altogether,5,0.00040
ambiguity,3,0.00024
ambiguous,5,0.00040
ambitious,1,0.00008
amend,1,0.00008
amply,1,0.00008
analogous,1,0.00008
analyse,1,0.00008
analyses,1,0.00008
analysing,2,0.00016
analysis,8,0.00064
analytic,3,0.00024
anatomist,1,0.00008
angles,3,0.00024
animal,1,0.00008
animals,6,0.00048
announcement,1,0.00008
announces,2,0.00016
answer,27,0.00216
answered,2,0.00016
answering,3,0.00024
answers,11,0.00088
anticipate,1,0.00008
anticipating,1,0.00008
anticipation,1,0.00008
antithesis,3,0.00024
anxious,2,0.00016
apparent,13,0.00104
appeal,4,0.00032
appealing,2,0.00016
appearance,12,0.00096
appearances,1,0.00008
appeared,5,0.00040
appearing,1,0.00008
appears,17,0.00136
appetite,1,0.00008
applicable,12,0.00096
application,1,0.00008
applications,3,0.00024
applied,1,0.00008
applies,17,0.00136
apply,9,0.00072
applying,2,0.00016
apportions,1,0.00008
apprehend,3,0.00024
apprehended,10,0.00080
apprehending,2,0.00016
apprehends,1,0.00008
apprehension,3,0.00024
approach,5,0.00040
approaches,1,0.00008
approaching,1,0.00008
apt,5,0.00040
arduous,1,0.00008
argue,5,0.00040
argued,2,0.00016
argues,1,0.00008
arguing,1,0.00008
argument,26,0.00208
arguments,16,0.00128
arises,4,0.00032
arithmetic,11,0.00088
arithmetical,3,0.00024
arm,3,0.00024
arose,1,0.00008
arrange,1,0.00008
arranged,2,0.00016
arrangement,3,0.00024
array,1,0.00008
arrive,7,0.00056
arrived,1,0.00008
arriving,1,0.00008
arrogant,1,0.00008
artificial,1,0.00008
ascertain,2,0.00016
ascertainable,2,0.00016
ascertained,1,0.00008
aspect,2,0.00016
assassinated,1,0.00008
assent,2,0.00016
assented,1,0.00008
assert,7,0.00056
asserted,2,0.00016
asserting,3,0.00024
assertion,3,0.00024
asserts,7,0.00056
assigns,1,0.00008
assimilate,1,0.00008
assist,1,0.00008
assistance,3,0.00024
associate,2,0.00016
association,10,0.00080
associations,2,0.00016
assume,10,0.00080
assumed,4,0.00032
assumes,3,0.00024
assuming,3,0.00024
assumption,2,0.00016
assumptions,1,0.00008
assurance,1,0.00008
assure,1,0.00008
assured,1,0.00008
astray,1,0.00008
astronomy,2,0.00016
astute,4,0.00032
ate,1,0.00008
atoms,1,0.00008
attach,2,0.00016
attached,1,0.00008
attack,1,0.00008
attain,1,0.00008
attainable,1,0.00008
attained,3,0.00024
attempt,16,0.00128
attempted,2,0.00016
attempts,4,0.00032
attendant,2,0.00016
attention,5,0.00040
attested,1,0.00008
attitude,1,0.00008
attributing,1,0.00008
avoid,5,0.00040
avoided,1,0.00008
avoiding,1,0.00008
aware,24,0.00192
awareness,2,0.00016
axioms,3,0.00024
babies,1,0.00008
bad,3,0.00024
bald,3,0.00024
baldness,1,0.00008
balloons,2,0.00016
banging,1,0.00008
bar,1,0.00008
bare,2,0.00016
barrier,1,0.00008
based,14,0.00112
basis,8,0.00064
battle,3,0.00024
bear,2,0.00016
bearing,2,0.00016
bed,1,0.00008
beech,10,0.00080
beg,1,0.00008
begging,1,0.00008
beginner,1,0.00008
begs,1,0.00008
begun,1,0.00008
behave,1,0.00008
behaviour,1,0.00008
beleagured,1,0.00008
belief,99,0.00791
beliefs,50,0.00399
believed,13,0.00104
believes,18,0.00144
believing,19,0.00152
bell,1,0.00008
bells,2,0.00016
belong,3,0.00024
belongs,9,0.00072
bewildering,1,0.00008
bid,1,0.00008
bigger,1,0.00008
binary,1,0.00008
binds,1,0.00008
black,2,0.00016
blank,1,0.00008
blind,12,0.00096
blue,7,0.00056
bodies,8,0.00064
body,25,0.00200
bolder,1,0.00008
bone,1,0.00008
books,3,0.00024
bored,1,0.00008
born,4,0.00032
borne,1,0.00008
bought,2,0.00016
bound,3,0.00024
boundaries,2,0.00016
bounds,1,0.00008
brain,2,0.00016
bread,2,0.00016
breakfast,3,0.00024
brick,1,0.00008
briefest,1,0.00008
brighter,1,0.00008
brightness,1,0.00008
bring,3,0.00024
brings,2,0.00016
broadly,3,0.00024
broken,1,0.00008
brought,4,0.00032
brown,8,0.00064
build,1,0.00008
builder,1,0.00008
buildings,1,0.00008
built,2,0.00016
business,6,0.00048
calculate,1,0.00008
calculated,1,0.00008
called,49,0.00391
calling,2,0.00016
calls,5,0.00040
calm,1,0.00008
calmly,2,0.00016
camps,1,0.00008
candid,1,0.00008
candidate,7,0.00056
candidates,2,0.00016
capable,16,0.00128
card,1,0.00008
care,6,0.00048
careful,1,0.00008
carefully,2,0.00016
carelessly,1,0.00008
carry,1,0.00008
cat,5,0.00040
catalogue,1,0.00008
catalogued,1,0.00008
catching,1,0.00008
categories,1,0.00008
causality,2,0.00016
caused,5,0.00040
causing,1,0.00008
cease,4,0.00032
ceased,4,0.00032
ceases,5,0.00040
cement,3,0.00024
centuries,1,0.00008
century,1,0.00008
certainty,32,0.00256
chair,2,0.00016
chairs,2,0.00016
challenged,2,0.00016
chance,1,0.00008
change,5,0.00040
changeable,1,0.00008
changed,1,0.00008
changing,2,0.00016
chapter,28,0.00224
chapters,5,0.00040
character,5,0.00040
characteristic,6,0.00048
characteristics,9,0.00072
characters,2,0.00016
charge,6,0.00048
charges,2,0.00016
charitable,1,0.00008
charities,1,0.00008
check,4,0.00032
checks,1,0.00008
chicken,4,0.00032
chief,6,0.00048
chiefly,2,0.00016
child,1,0.00008
chimaera,1,0.00008
chime,3,0.00024
choice,1,0.00008
choose,3,0.00024
chosen,1,0.00008
circle,4,0.00032
circular,4,0.00032
circumstances,6,0.00048
citizens,1,0.00008
citizenship,1,0.00008
city,1,0.00008
claim,5,0.00040
clash,1,0.00008
clashes,1,0.00008
class,5,0.00040
clean,1,0.00008
clearer,2,0.00016
clock,1,0.00008
close,2,0.00016
closed,1,0.00008
closely,2,0.00016
closer,1,0.00008
closes,1,0.00008
cloth,3,0.00024
clouds,1,0.00008
coalesce,1,0.00008
codes,1,0.00008
coexistence,3,0.00024
cohere,1,0.00008
coherence,6,0.00048
coherent,8,0.00064
coin,1,0.00008
coins,1,0.00008
collection,13,0.00104
collections,3,0.00024
collective,1,0.00008
colony,1,0.00008
colour,57,0.00455
colours,12,0.00096
combination,1,0.00008
combine,1,0.00008
combined,2,0.00016
coming,1,0.00008
commentators,2,0.00016
commercial,1,0.00008
commit,1,0.00008
committed,2,0.00016
common,32,0.00256
commonest,2,0.00016
commonly,10,0.00080
communicate,1,0.00008
community,1,0.00008
comparative,1,0.00008
compare,1,0.00008
compared,1,0.00008
comparing,1,0.00008
comparison,3,0.00024
compelled,5,0.00040
competent,1,0.00008
compilation,1,0.00008
complement,1,0.00008
complete,6,0.00048
completed,1,0.00008
completely,10,0.00080
complex,33,0.00264
compliance,4,0.00032
complicated,3,0.00024
comply,6,0.00048
complying,3,0.00024
composed,6,0.00048
compressed,1,0.00008
computers,2,0.00016
conceded,2,0.00016
conceivable,1,0.00008
conceivably,1,0.00008
concentrate,1,0.00008
concept,2,0.00016
conception,5,0.00040
concepts,2,0.00016
concern,4,0.00032
concerned,16,0.00128
concerns,3,0.00024
concluded,1,0.00008
conclusion,17,0.00136
conclusions,2,0.00016
concourse,1,0.00008
concrete,3,0.00024
condemns,1,0.00008
condition,2,0.00016
conditions,4,0.00032
conduct,1,0.00008
confess,1,0.00008
confidence,3,0.00024
confident,2,0.00016
confine,1,0.00008
confined,6,0.00048
confining,1,0.00008
confirm,2,0.00016
confirmation,1,0.00008
confirmed,1,0.00008
confirms,1,0.00008
conflict,1,0.00008
conform,3,0.00024
conformity,1,0.00008
confused,1,0.00008
confusing,1,0.00008
confusion,8,0.00064
confusions,1,0.00008
confute,1,0.00008
conjecture,1,0.00008
connected,11,0.00088
connecting,1,0.00008
connects,1,0.00008
connexion,19,0.00152
connexions,3,0.00024
conscious,3,0.00024
consciously,2,0.00016
consciousness,5,0.00040
consent,1,0.00008
consequences,1,0.00008
considerable,3,0.00024
consideration,7,0.00056
considerations,2,0.00016
considered,13,0.00104
considers,2,0.00016
consist,4,0.00032
consisted,1,0.00008
consisting,3,0.00024
consists,21,0.00168
constant,5,0.00040
constantly,6,0.00048
constituency,4,0.00032
constituent,4,0.00032
constituents,9,0.00072
constitute,6,0.00048
constituted,6,0.00048
constitutes,5,0.00040
constituting,1,0.00008
constitution,2,0.00016
construct,1,0.00008
constructed,1,0.00008
constructing,1,0.00008
constructions,1,0.00008
constructive,1,0.00008
contact,5,0.00040
contained,2,0.00016
contemplated,1,0.00008
contemplates,3,0.00024
contemplating,1,0.00008
contemplation,13,0.00104
contemplative,1,0.00008
contemptuously,1,0.00008
contended,1,0.00008
content,2,0.00016
contention,1,0.00008
contentions,1,0.00008
contents,3,0.00024
context,2,0.00016
continual,2,0.00016
continue,6,0.00048
continued,1,0.00008
continues,6,0.00048
continuing,1,0.00008
continuous,1,0.00008
continuously,1,0.00008
contradict,1,0.00008
contradiction,19,0.00152
contradictions,5,0.00040
contradictory,1,0.00008
contrary,14,0.00112
contrast,1,0.00008
contributed,1,0.00008
contribution,1,0.00008
contributions,1,0.00008
control,2,0.00016
controversies,2,0.00016
controversy,2,0.00016
convenient,1,0.00008
converged,1,0.00008
conversation,1,0.00008
conversely,2,0.00016
convert,1,0.00008
convey,2,0.00016
convictions,3,0.00024
convinced,2,0.00016
convincing,1,0.00008
cool,1,0.00008
copied,2,0.00016
copies,7,0.00056
copying,4,0.00032
copyright,18,0.00144
corporation,1,0.00008
correct,4,0.00032
correctly,2,0.00016
correlative,1,0.00008
correspond,8,0.00064
corresponded,1,0.00008
correspondence,10,0.00080
corresponds,5,0.00040
corrupt,1,0.00008
cost,3,0.00024
costs,2,0.00016
counterparts,1,0.00008
countless,1,0.00008
countries,1,0.00008
country,4,0.00032
couple,2,0.00016
couples,7,0.00056
cranny,1,0.00008
create,3,0.00024
created,4,0.00032
creates,1,0.00008
creating,3,0.00024
creation,1,0.00008
credit,2,0.00016
criterion,1,0.00008
critical,5,0.00040
critically,2,0.00016
criticism,8,0.00064
criticisms,1,0.00008
criticized,1,0.00008
crude,4,0.00032
crudely,1,0.00008
current,1,0.00008
custom,1,0.00008
customary,1,0.00008
cut,1,0.00008
cutting,1,0.00008
daily,8,0.00064
damage,1,0.00008
damaged,1,0.00008
damages,2,0.00016
danger,1,0.00008
dark,3,0.00024
data,18,0.00144
dates,1,0.00008
datum,5,0.00040
day,5,0.00040
days,5,0.00040
dead,2,0.00016
deal,6,0.00048
dealing,7,0.00056
deals,3,0.00024
dealt,6,0.00048
death,2,0.00016
debate,1,0.00008
debated,1,0.00008
deceitful,1,0.00008
deceive,1,0.00008
deceptive,1,0.00008
decide,3,0.00024
decided,3,0.00024
decides,1,0.00008
deciding,1,0.00008
decision,1,0.00008
declared,1,0.00008
deduce,5,0.00040
deduced,18,0.00144
deducible,2,0.00016
deducing,1,0.00008
deductible,1,0.00008
deduction,5,0.00040
deductions,3,0.00024
deeds,1,0.00008
deeply,1,0.00008
defeated,1,0.00008
defect,3,0.00024
defective,3,0.00024
defensible,1,0.00008
define,2,0.00016
defined,1,0.00008
definite,17,0.00136
definiteness,1,0.00008
definition,16,0.00128
definitions,1,0.00008
degree,20,0.00160
degrees,7,0.00056
deletions,1,0.00008
deliberate,1,0.00008
delightful,1,0.00008
delusion,1,0.00008
demand,4,0.00032
demanding,1,0.00008
demands,3,0.00024
demon,3,0.00024
demonstrably,1,0.00008
demonstration,2,0.00016
demonstrations,2,0.00016
demonstrative,1,0.00008
demonstratively,1,0.00008
denial,3,0.00024
denied,5,0.00040
denies,1,0.00008
denotes,4,0.00032
dentist,1,0.00008
deny,12,0.00096
depend,13,0.00104
dependence,1,0.00008
dependent,9,0.00072
depending,1,0.00008
depends,12,0.00096
derivative,15,0.00120
derive,7,0.00056
derived,17,0.00136
descend,1,0.00008
describes,1,0.00008
describing,1,0.00008
description,42,0.00336
descriptions,8,0.00064
descriptive,1,0.00008
desert,1,0.00008
deserts,1,0.00008
deserves,1,0.00008
deserving,1,0.00008
designate,1,0.00008
desirability,1,0.00008
desirable,1,0.00008
desire,10,0.00080
desires,5,0.00040
desiring,1,0.00008
desirous,1,0.00008
destroy,2,0.00016
destroyed,1,0.00008
destroys,1,0.00008
destructive,1,0.00008
detach,1,0.00008
determine,3,0.00024
determined,3,0.00024
determines,1,0.00008
develop,2,0.00016
development,1,0.00008
developments,1,0.00008
diary,1,0.00008
dictionary,1,0.00008
die,1,0.00008
died,4,0.00032
difference,11,0.00088
differences,2,0.00016
differing,3,0.00024
differs,2,0.00016
difficult,23,0.00184
difficulties,7,0.00056
difficulty,14,0.00112
diminish,1,0.00008
diminished,1,0.00008
diminishes,1,0.00008
diminishing,2,0.00016
dined,1,0.00008
diplomatist,4,0.00032
direct,8,0.00064
direction,4,0.00032
directions,1,0.00008
directs,1,0.00008
disappear,1,0.00008
disappoint,1,0.00008
disappointing,1,0.00008
disclaim,1,0.00008
disclaimer,2,0.00016
disclaimers,1,0.00008
discontinue,1,0.00008
discover,5,0.00040
discoverable,3,0.00024
discovered,7,0.00056
discovering,5,0.00040
discovery,2,0.00016
discuss,1,0.00008
discussed,2,0.00016
discussing,4,0.00032
discussion,4,0.00032
discussions,2,0.00016
disease,1,0.00008
disengaged,1,0.00008
disentangle,2,0.00016
disk,1,0.00008
dismiss,1,0.00008
dismissed,2,0.00016
dispassionately,1,0.00008
display,1,0.00008
displayed,1,0.00008
displaying,4,0.00032
disproved,3,0.00024
disputable,1,0.00008
disputants,1,0.00008
dissociated,1,0.00008
distance,3,0.00024
distances,5,0.00040
distinct,3,0.00024
distinction,7,0.00056
distinctions,2,0.00016
distinctive,2,0.00016
distinctly,1,0.00008
distinguish,7,0.00056
distinguished,4,0.00032
distinguishes,1,0.00008
distinguishing,3,0.00024
distort,1,0.00008
distorts,1,0.00008
distribute,5,0.00040
distributed,4,0.00032
distributing,7,0.00056
distribution,8,0.00064
disturbance,3,0.00024
diverge,1,0.00008
divest,1,0.00008
divide,1,0.00008
divided,1,0.00008
divisibility,1,0.00008
divisible,2,0.00016
doctrine,4,0.00032
doctrines,2,0.00016
dogmas,1,0.00008
dogmatic,1,0.00008
dogmatically,2,0.00016
dogmatism,1,0.00008
domain,2,0.00016
domestic,1,0.00008
dominion,1,0.00008
donate,3,0.00024
donation,1,0.00008
donations,12,0.00096
donors,1,0.00008
door,2,0.00016
doubt,38,0.00304
doubted,5,0.00040
doubting,5,0.00040
doubtless,1,0.00008
doubts,2,0.00016
downloading,1,0.00008
draw,9,0.00072
drawing,2,0.00016
drawn,1,0.00008
dream,8,0.00064
dreams,12,0.00096
dried,1,0.00008
drifted,1,0.00008
drive,1,0.00008
driven,5,0.00040
drives,1,0.00008
dualism,2,0.00016
duly,1,0.00008
duration,2,0.00016
dwell,3,0.00024
dying,3,0.00024
eBook,9,0.00072
eBooks,7,0.00056
earlier,4,0.00032
earth,7,0.00056
earwig,3,0.00024
easier,2,0.00016
easiest,1,0.00008
easily,7,0.00056
easy,7,0.00056
eat,2,0.00016
ebook,2,0.00016
eclipse,1,0.00008
edition,1,0.00008
editions,4,0.00032
educated,1,0.00008
educational,1,0.00008
effected,1,0.00008
effects,2,0.00016
effort,4,0.00032
efforts,3,0.00024
elapse,1,0.00008
elapsed,1,0.00008
elect,1,0.00008
elected,1,0.00008
electric,1,0.00008
electronic,27,0.00216
electronically,2,0.00016
element,3,0.00024
elementary,1,0.00008
elements,1,0.00008
elicited,4,0.00032
elucidation,1,0.00008
email,1,0.00008
embark,1,0.00008
emerged,1,0.00008
emerges,1,0.00008
emitted,1,0.00008
emitting,1,0.00008
emotion,2,0.00016
emphasized,1,0.00008
emphatically,1,0.00008
empirical,14,0.00112
empiricists,7,0.00056
employ,2,0.00016
employed,4,0.00032
employee,1,0.00008
employees,1,0.00008
employs,1,0.00008
enable,5,0.00040
enables,6,0.00048
enabling,2,0.00016
endeavour,3,0.00024
endeavoured,2,0.00016
enemy,2,0.00016
engagement,1,0.00008
engendered,1,0.00008
enlarge,3,0.00024
enlarged,1,0.00008
enlargement,4,0.00032
enlarges,1,0.00008
enormously,1,0.00008
enrich,1,0.00008
ensures,2,0.00016
ensuring,1,0.00008
entails,1,0.00008
entangled,1,0.00008
enter,1,0.00008
entertain,3,0.00024
entertained,2,0.00016
entertaining,1,0.00008
entities,8,0.00064
entity,6,0.00048
enumerated,1,0.00008
enumeration,1,0.00008
enunciated,1,0.00008
equal,1,0.00008
equally,10,0.00080
equipment,3,0.00024
equivocation,1,0.00008
ergo,1,0.00008
erroneous,11,0.00088
error,15,0.00120
errors,2,0.00016
escape,4,0.00032
essence,7,0.00056
essential,7,0.00056
essentially,8,0.00064
establish,4,0.00032
established,2,0.00016
estimated,1,0.00008
eternal,1,0.00008
eternally,1,0.00008
ethical,4,0.00032
ethics,2,0.00016
event,3,0.00024
events,4,0.00032
everyday,1,0.00008
evidence,11,0.00088
evident,15,0.00120
evil,5,0.00040
exact,1,0.00008
examination,4,0.00032
examine,8,0.00064
examined,5,0.00040
examines,1,0.00008
examining,3,0.00024
examples,2,0.00016
exceedingly,1,0.00008
exceptional,2,0.00016
exceptions,9,0.00072
excluded,2,0.00016
excluding,1,0.00008
exclusion,1,0.00008
exclusive,2,0.00016
exclusively,6,0.00048
exemplified,3,0.00024
exemplify,1,0.00008
exempt,2,0.00016
exist,54,0.00431
existed,5,0.00040
existence,52,0.00415
existent,1,0.00008
existing,9,0.00072
exists,33,0.00264
expect,6,0.00048
expectation,2,0.00016
expectations,12,0.00096
expecting,4,0.00032
expend,1,0.00008
expense,1,0.00008
expenses,2,0.00016
experience,78,0.00623
experienced,10,0.00080
experiences,15,0.00120
explained,3,0.00024
explaining,3,0.00024
explanation,2,0.00016
explicitly,1,0.00008
explored,1,0.00008
exploring,1,0.00008
exponents,1,0.00008
exporting,1,0.00008
express,4,0.00032
expressed,2,0.00016
expressing,2,0.00016
expression,2,0.00016
expressions,1,0.00008
extend,1,0.00008
extends,1,0.00008
extension,3,0.00024
extensive,1,0.00008
extent,7,0.00056
external,2,0.00016
extrinsic,1,0.00008
eye,9,0.00072
eyes,6,0.00048
fabric,1,0.00008
facility,1,0.00008
faculty,1,0.00008
fail,2,0.00016
failed,2,0.00016
failing,1,0.00008
fails,3,0.00024
failure,4,0.00032
fainter,1,0.00008
faintness,1,0.00008
fall,3,0.00024
fallacies,1,0.00008
fallacious,6,0.00048
fallacy,1,0.00008
fallible,1,0.00008
falls,1,0.00008
false,27,0.00216
falsehood,27,0.00216
falsehoods,2,0.00016
falsely,4,0.00032
falsified,1,0.00008
familiar,6,0.00048
familiarity,2,0.00016
family,1,0.00008
fancy,1,0.00008
fast,1,0.00008
fatal,1,0.00008
favour,8,0.00064
favouritism,1,0.00008
fear,1,0.00008
fears,2,0.00016
features,1,0.00008
fed,1,0.00008
federal,2,0.00016
fee,8,0.00064
